,flight_number,airline_iata,dep_time_utc,dep_estimated_utc,arr_time_utc,arr_estimated_utc,dep_country_code,arr_country_code,domestic,international,delayed
0,8359,SQ,2023-10-05 00:50,2023-10-05 01:22,2023-10-05 06:55,2023-10-05 07:37,CN,SG,False,True,42
1,187,TR,2023-10-05 00:50,2023-10-05 01:22,2023-10-05 06:55,2023-10-05 07:37,CN,SG,False,True,42
2,8402,7C,2023-10-05 01:50,2023-10-05 02:24,2023-10-05 03:20,2023-10-05 03:45,CN,KR,False,True,34
3,318,SC,2023-10-05 02:35,2023-10-05 03:09,2023-10-05 03:55,2023-10-05 04:09,CN,KR,False,True,34
4,5009,CA,2023-10-05 02:35,2023-10-05 03:09,2023-10-05 03:55,2023-10-05 04:09,CN,KR,False,True,34
5,318,OZ,2023-10-05 02:35,2023-10-05 03:09,2023-10-05 03:55,2023-10-05 04:09,CN,KR,False,True,34
6,8877,CA,2023-10-05 02:35,2023-10-05 03:38,2023-10-05 03:50,,CN,KR,False,True,63
7,6706,OZ,2023-10-05 02:35,2023-10-05 03:38,2023-10-05 03:50,,CN,KR,False,True,63
8,4081,SC,2023-10-05 02:35,2023-10-05 03:38,2023-10-05 03:50,,CN,KR,False,True,63
9,4653,SC,2023-10-05 02:30,2023-10-05 03:40,2023-10-05 04:10,2023-10-05 04:57,CN,CN,True,False,47
10,5138,CZ,2023-10-05 03:05,2023-10-05 03:38,2023-10-05 04:50,2023-10-05 05:08,CN,CN,True,False,33
11,2057,3U,2023-10-05 03:10,2023-10-05 03:46,2023-10-05 05:30,,CN,CN,True,False,36
12,3257,GJ,2023-10-05 03:10,2023-10-05 03:46,2023-10-05 05:30,,CN,CN,True,False,36
13,8081,MF,2023-10-05 03:10,2023-10-05 03:46,2023-10-05 05:30,,CN,CN,True,False,36
14,3257,MU,2023-10-05 03:10,2023-10-05 03:46,2023-10-05 05:30,,CN,CN,True,False,36
15,6085,NS,2023-10-05 03:10,2023-10-05 03:46,2023-10-05 05:30,,CN,CN,True,False,36
16,9670,AF,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
17,4891,KL,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
18,5012,AY,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
19,4534,PG,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
20,81,QF,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
21,7495,BA,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
22,3371,UL,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
23,8333,LA,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
24,5061,EK,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
25,5322,FJ,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
26,4172,MU,2023-10-05 01:50,2023-10-05 03:03,2023-10-05 10:15,2023-10-05 11:05,AU,SG,False,True,73
27,502,TW,2023-10-05 01:45,2023-10-05 02:37,2023-10-05 12:30,,AU,KR,False,True,52
28,87,QF,2023-10-04 23:30,2023-10-05 03:40,2023-10-05 10:20,2023-10-05 14:20,AU,KR,False,True,250
29,640,FC,2023-10-04 23:35,2023-10-05 01:25,2023-10-05 00:35,,AU,AU,True,False,110
30,640,VA,2023-10-04 23:35,2023-10-05 01:25,2023-10-05 00:35,,AU,AU,True,False,110
31,644,FC,2023-10-05 01:20,2023-10-05 02:40,2023-10-05 02:20,2023-10-05 03:45,AU,AU,True,False,80
32,644,VA,2023-10-05 01:20,2023-10-05 02:40,2023-10-05 02:20,2023-10-05 03:45,AU,AU,True,False,80
33,3869,QF,2023-10-05 03:15,2023-10-05 04:05,2023-10-05 06:55,2023-10-05 07:45,AU,FJ,False,True,50
34,910,FJ,2023-10-05 03:15,2023-10-05 04:05,2023-10-05 06:55,2023-10-05 07:45,AU,FJ,False,True,50
35,7,QF,2023-10-05 05:40,2023-10-05 07:00,2023-10-05 21:05,2023-10-05 22:25,AU,US,False,True,80
36,7261,AA,2023-10-05 05:40,2023-10-05 07:00,2023-10-05 21:05,2023-10-05 22:25,AU,US,False,True,80
37,802,MF,2023-10-05 01:15,2023-10-05 01:29,2023-10-05 10:50,2023-10-05 11:41,AU,CN,False,True,51
38,6105,AC,2023-10-05 00:55,2023-10-05 01:58,2023-10-05 03:55,2023-10-05 05:16,AU,NZ,False,True,63
39,4249,SQ,2023-10-05 00:55,2023-10-05 01:58,2023-10-05 03:55,2023-10-05 05:16,AU,NZ,False,True,63
40,6552,OZ,2023-10-05 00:55,2023-10-05 01:58,2023-10-05 03:55,2023-10-05 05:16,AU,NZ,False,True,63
41,7964,NH,2023-10-05 00:55,2023-10-05 01:58,2023-10-05 03:55,2023-10-05 05:16,AU,NZ,False,True,63
42,6770,UA,2023-10-05 00:55,2023-10-05 01:58,2023-10-05 03:55,2023-10-05 05:16,AU,NZ,False,True,63
43,4435,EY,2023-10-05 00:55,2023-10-05 01:58,2023-10-05 03:55,2023-10-05 05:16,AU,NZ,False,True,63
44,104,NZ,2023-10-05 00:55,2023-10-05 01:58,2023-10-05 03:55,2023-10-05 05:16,AU,NZ,False,True,63
