,airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,dep_actual_ts,arr_actual,arr_actual_utc,arr_actual_ts
0,SQ,SIA,SQ8359,SIA8359,8359,TAO,ZSQD,1,,2023-10-05 08:50,2023-10-05 00:50,2023-10-05 09:22,2023-10-05 01:22,2023-10-05 09:22,2023-10-05 01:22,SIN,WSSS,1,,,2023-10-05 14:55,2023-10-05 06:55,2023-10-05 15:37,2023-10-05 07:37,TR,187,TR187,active,365.0,42,32.0,42.0,,1696488900.0,1696467000,1696491420.0,1696468920.0,1696468920.0,,,
1,AA,AAL,AA396,AAL396,396,DFW,KDFW,A,A21,2023-10-04 19:45,2023-10-05 00:45,2023-10-04 20:22,2023-10-05 01:22,2023-10-04 20:22,2023-10-05 01:22,SYR,KSYR,A,6,,2023-10-04 23:58,2023-10-05 03:58,2023-10-05 02:16,2023-10-05 06:16,,,,active,193.0,138,37.0,138.0,A320,1696478280.0,1696466700,1696486560.0,1696468920.0,1696468920.0,,,
2,JL,JAL,JL5211,JAL5211,5211,KIX,RJBB,1,,2023-10-05 10:15,2023-10-05 01:15,2023-10-05 10:22,2023-10-05 01:22,2023-10-05 10:22,2023-10-05 01:22,ICN,RKSI,2,234,5,2023-10-05 12:05,2023-10-05 03:05,2023-10-05 12:37,2023-10-05 03:37,KE,722,KE722,active,110.0,32,7.0,32.0,,1696475100.0,1696468500,1696477020.0,1696468920.0,1696468920.0,,,
3,AA,AAL,AA3414,AAL3414,3414,AUS,KAUS,,28,2023-10-04 19:29,2023-10-05 00:29,2023-10-04 20:22,2023-10-05 01:22,2023-10-04 20:22,2023-10-05 01:22,IND,KIND,,B16,,2023-10-04 22:59,2023-10-05 02:59,2023-10-04 23:38,2023-10-05 03:38,MQ,3414,MQ3414,active,150.0,39,53.0,39.0,,1696474740.0,1696465740,1696477080.0,1696468920.0,1696468920.0,,,
4,OO,SKW,OO3716,SKW3716,3716,BOS,KBOS,A,A8,2023-10-04 19:59,2023-10-04 23:59,2023-10-04 21:22,2023-10-05 01:22,2023-10-04 21:22,2023-10-05 01:22,BNA,KBNA,,B8,,2023-10-04 21:57,2023-10-05 02:57,2023-10-04 23:00,2023-10-05 04:00,,,,active,178.0,63,83.0,63.0,E75L,1696474620.0,1696463940,1696478400.0,1696468920.0,1696468920.0,,,
5,KL,KLM,KL5520,KLM5520,5520,BOS,KBOS,A,A8,2023-10-04 19:59,2023-10-04 23:59,2023-10-04 21:22,2023-10-05 01:22,2023-10-04 21:22,2023-10-05 01:22,BNA,KBNA,,B8,,2023-10-04 21:57,2023-10-05 02:57,2023-10-04 23:00,2023-10-05 04:00,OO,3716,OO3716,active,178.0,63,83.0,63.0,,1696474620.0,1696463940,1696478400.0,1696468920.0,1696468920.0,,,
6,AM,AMX,AM2454,AMX2454,2454,MEX,MMMX,2,53,2023-10-04 18:50,2023-10-05 00:50,2023-10-04 19:22,2023-10-05 01:22,2023-10-04 19:22,2023-10-05 01:22,ZIH,MMZH,A,,,2023-10-04 19:59,2023-10-05 01:59,2023-10-04 20:33,2023-10-05 02:33,5D,2454,5D2454,landed,69.0,34,32.0,34.0,,1696471140.0,1696467000,1696473180.0,1696468920.0,1696468920.0,2023-10-04 20:33,2023-10-05 02:33,1696473180.0
7,AF,AFR,AF3412,AFR3412,3412,MEX,MMMX,2,53,2023-10-04 18:50,2023-10-05 00:50,2023-10-04 19:22,2023-10-05 01:22,2023-10-04 19:22,2023-10-05 01:22,ZIH,MMZH,A,,,2023-10-04 19:59,2023-10-05 01:59,2023-10-04 20:33,2023-10-05 02:33,5D,2454,5D2454,landed,69.0,34,32.0,34.0,,1696471140.0,1696467000,1696473180.0,1696468920.0,1696468920.0,2023-10-04 20:33,2023-10-05 02:33,1696473180.0
8,LA,LAN,LA7773,LAN7773,7773,MEX,MMMX,2,53,2023-10-04 18:50,2023-10-05 00:50,2023-10-04 19:22,2023-10-05 01:22,2023-10-04 19:22,2023-10-05 01:22,ZIH,MMZH,A,,,2023-10-04 19:59,2023-10-05 01:59,2023-10-04 20:33,2023-10-05 02:33,5D,2454,5D2454,landed,69.0,34,32.0,34.0,,1696471140.0,1696467000,1696473180.0,1696468920.0,1696468920.0,2023-10-04 20:33,2023-10-05 02:33,1696473180.0
9,TR,TGW,TR187,TGW187,187,TAO,ZSQD,1,,2023-10-05 08:50,2023-10-05 00:50,2023-10-05 09:22,2023-10-05 01:22,2023-10-05 09:22,2023-10-05 01:22,SIN,WSSS,1,,,2023-10-05 14:55,2023-10-05 06:55,2023-10-05 15:37,2023-10-05 07:37,,,,active,365.0,42,32.0,42.0,B788,1696488900.0,1696467000,1696491420.0,1696468920.0,1696468920.0,,,
